ImpactID,MealID,ConditionType,Notes,Score
1579,84,High Blood Pressure,Moderate sodium.,7
1580,84,Gout,"Low purine, suitable.",9
1581,84,Fatty Liver,"High sugar, saturated fat, not ideal.",4
1582,84,High Cholesterol,Saturated fat present.,5
1583,84,High Blood Pressure,Moderate sodium.,7
1584,84,Gout,Cookies and peanut butter moderate purine.,7
1585,85,Fatty Liver,"Moderate protein, but mayonnaise and bacon add saturated fat.",6/10
1586,85,High Cholesterol,"Lean turkey is good, but bacon and mayo can raise cholesterol.",6/10
1587,85,High Blood Pressure,Bacon and cheese increase sodium.,5/10
1588,85,Gout,Moderate purines from turkey and bacon.,6/10
1589,85,Fatty Liver,"High fat content, but unsaturated; moderation advised.",6/10
1590,85,High Cholesterol,"No cholesterol, but high fat intake.",7/10
1591,85,High Blood Pressure,Very low sodium.,9/10
1592,85,Gout,Moderate purines in nuts.,6/10
1593,85,Fatty Liver,High fiber and plant-based; beneficial.,8/10
1594,85,High Cholesterol,"Plant-based, no cholesterol.",9/10
1595,85,High Blood Pressure,Moderate sodium.,7/10
1596,85,Gout,Beans have low-to-moderate purines; plantains are low.,7/10
1597,85,Fatty Liver,"Low fat, low risk; watch sugar.",7/10
1598,85,High Cholesterol,No cholesterol or fat.,9/10
1599,85,High Blood Pressure,Very low sodium.,10/10
1600,85,Gout,Low purines.,9/10
1601,86,Fatty Liver,"Low fat, high vegetables; beneficial.",9/10
1602,86,High Cholesterol,Minimal cholesterol.,9/10
1603,86,High Blood Pressure,Moderate sodium.,7/10
1604,86,Gout,Low purines.,9/10
1605,86,Fatty Liver,"High fat, but unsalted and plant-based; moderation advised.",7/10
1606,86,High Cholesterol,"No cholesterol, but high fat.",7/10
1607,86,High Blood Pressure,Very low sodium.,9/10
1608,86,Gout,Moderate purines.,6/10
1609,86,Fatty Liver,Plant-based pasta and veggies; turkey bacon adds sodium.,7/10
1610,86,High Cholesterol,Turkey bacon is leaner but still processed.,7/10
1611,86,High Blood Pressure,Turkey bacon increases sodium.,6/10
1612,86,Gout,Moderate purines due to turkey bacon.,6/10
1613,86,Fatty Liver,High saturated fat and sugar; limit frequency.,4/10
1614,86,High Cholesterol,Saturated fat may raise LDL.,4/10
1615,86,High Blood Pressure,Low sodium.,8/10
1616,86,Gout,Moderate purines from chocolate and eggs.,6/10
1617,87,Fatty Liver,"High fiber, low sugar; beneficial.",10/10
1618,87,High Cholesterol,Excellent for cholesterol.,10/10
1619,87,High Blood Pressure,No sodium.,10/10
1620,87,Gout,Low purines.,10/10
1621,87,Fatty Liver,"High fiber, moderate fat; limit butter.",7/10
1622,87,High Cholesterol,Cheese and butter add cholesterol.,6/10
1623,87,High Blood Pressure,Garlic bread and cheese increase sodium.,5/10
1624,87,Gout,"Beans are moderate purine, cheese is low.",7/10
1625,87,Fatty Liver,Plant-based fats; beneficial in moderation.,8/10
1626,87,High Cholesterol,"No cholesterol, healthy fats.",9/10
1627,87,High Blood Pressure,Very low sodium.,10/10
1628,87,Gout,Moderate purines from nuts.,7/10
1629,87,Fatty Liver,"High fiber, plant-based, healthy fats.",10/10
1630,87,High Cholesterol,"No cholesterol, heart-healthy.",10/10
1631,87,High Blood Pressure,Low sodium.,9/10
1632,87,Gout,Low purines.,10/10
1633,87,Fatty Liver,High sugar; limit dessert frequency.,5/10
1634,87,High Cholesterol,Minimal cholesterol.,8/10
1635,87,High Blood Pressure,Low sodium.,9/10
1636,87,Gout,Low purines.,9/10
1637,88,Fatty Liver,"Lean protein, some healthy fats, high sodium from feta.",7/10
1638,88,High Cholesterol,Feta and chicken have cholesterol; veggies help.,7/10
1639,88,High Blood Pressure,High sodium from feta and bread.,4/10
1640,88,Gout,Chicken is moderate purine; cheese is low.,7/10
1641,88,Fatty Liver,"Low fat, moderate sugar.",8/10
1642,88,High Cholesterol,No cholesterol.,10/10
1643,88,High Blood Pressure,Low sodium.,9/10
1644,88,Gout,Low purines.,9/10
1645,88,Fatty Liver,"Lean protein, but mayo and rice add fat and carbs.",6/10
1646,88,High Cholesterol,"Seafood is healthy, but mayo elevates cholesterol.",7/10
1647,88,High Blood Pressure,High sodium from soy sauce and mayo.,4/10
1648,88,Gout,High purines from tuna and crab.,4/10
1649,88,Fatty Liver,"Small portion, healthy fats.",9/10
1650,88,High Cholesterol,No cholesterol.,10/10
1651,88,High Blood Pressure,Very low sodium.,10/10
1652,88,Gout,Moderate purines in peanuts.,7/10
1653,89,Fatty Liver,Lean protein; mayonnaise adds fat.,7/10
1654,89,High Cholesterol,Chicken is lean; watch mayo.,8/10
1655,89,High Blood Pressure,High sodium from pickles and bread.,4/10
1656,89,Gout,Moderate purines from chicken.,6/10
1657,89,Fatty Liver,High sugar and saturated fat; best in moderation.,4/10
1658,89,High Cholesterol,Saturated fat and cholesterol.,5/10
1659,89,High Blood Pressure,Low sodium.,9/10
1660,89,Gout,Moderate purines from peanuts and chocolate.,6/10
1661,89,Fatty Liver,High carbs; low fat.,7/10
1662,89,High Cholesterol,"No cholesterol, plant-based.",9/10
1663,89,High Blood Pressure,Moderate sodium.,6/10
1664,89,Gout,Low purines.,9/10
